City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
278,Venancio Aires,-29.6064,-52.1919,23.01,69,28,2.74,BR,2021-08-24 18:58:19,scattered clouds
279,Hauterive,46.0901,3.4459,21.42,67,0,3.29,FR,2021-08-24 18:58:19,clear sky
280,Soroti,1.7146,33.6111,19.2,81,38,1.02,UG,2021-08-24 18:55:08,light rain
281,Dehloran,32.6941,47.2679,38.16,9,0,2.83,IR,2021-08-24 18:58:19,clear sky
282,Marsa Matruh,31.3525,27.2453,27.11,74,0,4.12,EG,2021-08-24 18:58:19,clear sky
283,Gboko,7.3179,8.9951,24.99,85,100,3.76,NG,2021-08-24 18:58:20,light rain
284,Bandundu,-3.3167,17.3667,23.28,83,100,1.54,CD,2021-08-24 18:58:20,overcast clouds
285,Vieux-Habitants,16.0589,-61.7659,30.76,65,8,7.21,GP,2021-08-24 18:58:20,clear sky
286,Nouadhibou,20.931,-17.0347,22.99,83,1,8.23,MR,2021-08-24 18:58:21,clear sky
287,Nalut,30.3333,10.85,31.17,20,0,4.58,LY,2021-08-24 18:58:21,clear sky
288,Mouila,-1.8685,11.0559,26.59,66,99,0.67,GA,2021-08-24 18:58:21,overcast clouds
289,Sao Felix Do Xingu,-6.6447,-51.995,39.27,17,37,0.54,BR,2021-08-24 18:58:22,scattered clouds
290,Cap Malheureux,-19.9842,57.6142,21.27,68,92,1.79,MU,2021-08-24 18:58:22,overcast clouds
291,Robertsport,6.7533,-11.3686,26.01,82,100,4.52,LR,2021-08-24 18:58:22,overcast clouds
292,Serdobsk,52.4586,44.2169,13.88,68,14,3.31,RU,2021-08-24 18:58:22,few clouds
293,Olinda,-8.0089,-34.8553,25.85,69,40,5.66,BR,2021-08-24 18:51:08,scattered clouds
294,Rio Brilhante,-21.8019,-54.5464,37.13,16,0,5.36,BR,2021-08-24 18:58:23,clear sky
295,Piacabucu,-10.4056,-36.4344,24.95,78,24,4.28,BR,2021-08-24 18:58:23,few clouds
296,Cotonou,6.3654,2.4183,24.99,94,40,5.66,BJ,2021-08-24 18:58:23,light rain
297,Porto Novo,6.4965,2.6036,24.9,86,26,3.12,BJ,2021-08-24 18:58:24,scattered clouds
298,Tombouctou,20.0,-3.0,40.67,7,15,3.02,ML,2021-08-24 18:54:18,few clouds
299,Jumla,29.2747,82.1838,17.43,97,100,0.31,NP,2021-08-24 18:49:01,overcast clouds
300,Vila Velha,-20.3297,-40.2925,25.97,65,0,8.75,BR,2021-08-24 18:53:54,clear sky
301,Pabianice,51.6645,19.3547,13.46,79,20,0.45,PL,2021-08-24 18:58:24,few clouds
302,Kyzyl-Suu,42.3414,78.0056,14.72,78,36,1.41,KG,2021-08-24 18:58:25,scattered clouds
303,Maceio,-9.6658,-35.7353,27.69,65,40,4.63,BR,2021-08-24 18:49:55,scattered clouds
304,Stirion,38.4,22.7167,23.45,50,0,0.85,GR,2021-08-24 18:58:25,clear sky
305,Villazon,-22.0866,-65.5942,17.47,3,0,10.45,BO,2021-08-24 18:50:27,clear sky
306,Pavilosta,56.8879,21.1859,12.97,73,71,3.21,LV,2021-08-24 18:56:16,broken clouds
307,Benghazi,32.1167,20.0667,27.6,67,0,5.74,LY,2021-08-24 18:58:25,clear sky
308,Bafq,31.6128,55.4107,29.71,10,0,4.19,IR,2021-08-24 18:58:26,clear sky
309,Cossato,45.5739,8.1817,23.75,69,28,2.86,IT,2021-08-24 18:58:26,scattered clouds
310,Yanam,16.7333,82.2167,26.09,87,18,1.63,IN,2021-08-24 18:58:26,few clouds
311,Chapais,49.7834,-74.8492,25.88,38,72,4.72,CA,2021-08-24 18:58:27,broken clouds
312,Praia,14.9215,-23.5087,29.3,79,40,4.63,CV,2021-08-24 18:48:54,scattered clouds
313,Bandarbeyla,9.4942,50.8122,24.91,84,49,11.73,SO,2021-08-24 18:49:03,scattered clouds
314,Garowe,8.4054,48.4845,30.04,36,80,7.84,SO,2021-08-24 18:50:54,broken clouds
315,Terracina,41.2863,13.2217,26.62,91,1,0.45,IT,2021-08-24 18:58:27,clear sky
316,Henties Bay,-22.116,14.2845,12.7,82,1,2.54,NA,2021-08-24 18:58:27,clear sky
317,Afua,-0.1567,-50.3867,30.89,59,16,4.33,BR,2021-08-24 18:58:28,few clouds
318,Kanniyakumari,8.0833,77.5667,25.86,87,50,5.05,IN,2021-08-24 18:58:28,scattered clouds
319,Micheweni,-4.9667,39.8333,24.08,72,2,5.32,TZ,2021-08-24 18:58:28,clear sky
320,Karaton,-6.3424,106.1045,24.09,91,60,0.7,ID,2021-08-24 18:58:29,broken clouds
321,Port-Cartier,50.0334,-66.8654,21.12,89,99,2.03,CA,2021-08-24 18:58:29,overcast clouds
322,Longyearbyen,78.2186,15.6401,6.91,87,75,1.54,SJ,2021-08-24 18:58:29,broken clouds
