City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
541,Vincennes,FR,21.16,clear sky,48.85,2.4333,Aparthotel Adagio Paris Vincennes
545,Manjacaze,MZ,23.8,broken clouds,-24.7117,33.8828,Hotel Gani
547,Lubumbashi,CD,23.06,broken clouds,-11.6609,27.4794,Glo Flats
549,Lobito,AO,20.91,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
553,Prado,BR,24.15,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
556,Isiro,CD,20.97,scattered clouds,2.7739,27.616,Guest House Hewa Bora
559,Shaki,AZ,23.44,overcast clouds,41.0833,47.1667,Hotel Sheki Azpetrol
562,Buenaventura,CO,24.9,overcast clouds,3.8801,-77.0312,La Casa Blanca Hotel
568,Yaounde,CM,24.74,thunderstorm,3.8667,11.5167,Hotel Mérina Yaoundé
569,Abalak,RU,21.09,clear sky,58.1286,68.5944,Туристический комплекс Абалак
572,Lokoja,NG,24.77,light rain,7.8024,6.743,Hotel Charvid
577,Kipushi,CD,22.52,broken clouds,-11.7667,27.2333,Villa Madimba
580,Ikare,NG,22.2,light rain,7.4913,5.2322,Inisa Gardens Hotel & Events Centre
588,Camacha,PT,23.42,scattered clouds,33.0833,-16.3333,Hotel Praia Dourada
602,Hwange,ZW,23.94,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
605,Bonavista,CA,22.0,light rain,48.6499,-53.1147,Abbott's Bed & Breakfast
606,Padang,ID,24.03,overcast clouds,-0.9492,100.3543,Mercure Padang
611,Saint-Pierre,RE,20.82,broken clouds,-21.3393,55.4781,Lindsey Hôtel
620,Vannes,FR,22.48,clear sky,47.8333,-2.5,Le Bolloch Françoise
627,Yining,CN,22.53,light rain,29.0361,114.5636,Xiushui Hotel
634,Lugovoy,KZ,22.22,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
637,Maputo,MZ,24.82,scattered clouds,-25.9653,32.5892,Pestana Rovuma
639,Nanga Eboko,CM,21.45,overcast clouds,4.6833,12.3667,Motel Papi Palace
640,Channel-Port Aux Basques,CA,20.07,light rain,47.5702,-59.1367,St. Christopher's Hotel
647,Lucapa,AO,22.36,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
653,Ghanzi,BW,21.6,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
657,Vetralla,IT,21.48,clear sky,42.3098,12.0784,Ristorante Dal Sor Francesco Locanda B&B
663,Mahajanga,MG,22.01,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
667,Bibbiena,IT,21.33,few clouds,43.6965,11.8135,Hotel Borgo Antico
669,Mao,ES,24.31,few clouds,39.8885,4.2658,ARTIEM Capri
672,Kirgiz-Miyaki,RU,23.15,overcast clouds,53.6324,54.7979,Миякинский Дворик
673,Kashi,CN,24.56,overcast clouds,39.4547,75.9797,帕米尔青年旅舍
682,Ponta Delgada,PT,23.4,broken clouds,37.7333,-25.6667,Vila Nova Hotel
689,Uige,AO,20.88,overcast clouds,-7.6087,15.0613,Hotel Catraio
697,Aste,IT,20.42,light rain,45.7906,11.0961,B&B Arlanch 8
698,Aksu,CN,22.69,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
699,Loandjili,CG,23.74,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
701,Sundarnagar,IN,23.9,light rain,31.5333,76.8833,OYO 35436 Suket Valley Guest House
